epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,113.731,2.38164,0.19716,0.63644,2.40502,0.0005,0.0005,0.0005
2,222.124,1.20026,0.74132,0.98659,0.72908,0.00049723,0.00049723,0.00049723
3,349.485,0.50726,0.92035,0.99527,0.25601,0.000488988,0.000488988,0.000488988
4,471.385,0.22152,0.95899,0.99763,0.13168,0.000475476,0.000475476,0.000475476
5,590.168,0.14165,0.97397,0.99842,0.08406,0.000457029,0.000457029,0.000457029
6,695.082,0.10468,0.98265,0.99685,0.06464,0.000434099,0.000434099,0.000434099
7,806.22,0.07751,0.98423,0.99763,0.06235,0.000407252,0.000407252,0.000407252
8,924.878,0.0645,0.98738,0.99842,0.04817,0.000377148,0.000377148,0.000377148
9,1068.06,0.06263,0.98738,0.99763,0.04704,0.000344529,0.000344529,0.000344529
10,1186.16,0.04598,0.98975,0.99842,0.03145,0.000310198,0.000310198,0.000310198
11,1355.28,0.03445,0.99054,0.99763,0.03408,0.000275,0.000275,0.000275
12,1475.31,0.02925,0.99211,0.99763,0.03233,0.000239802,0.000239802,0.000239802
13,1581.92,0.03362,0.99448,0.99842,0.02043,0.000205471,0.000205471,0.000205471
14,1684.89,0.01997,0.99132,0.99842,0.03239,0.000172852,0.000172852,0.000172852
15,1786.64,0.0151,0.99211,0.99763,0.03296,0.000142748,0.000142748,0.000142748
16,1887.95,0.01914,0.9929,0.99763,0.02868,0.000115901,0.000115901,0.000115901
17,1990.53,0.01561,0.9929,0.99842,0.03046,9.29712e-05,9.29712e-05,9.29712e-05
18,2092.4,0.01054,0.9929,0.99842,0.02468,7.45235e-05,7.45235e-05,7.45235e-05
19,2193.76,0.00944,0.9929,0.99842,0.02472,6.10123e-05,6.10123e-05,6.10123e-05
20,2297.65,0.00889,0.99369,0.99842,0.02172,5.27701e-05,5.27701e-05,5.27701e-05
