epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,89.3503,1.57377,0.54032,0.95161,1.24211,0.0005,0.0005,0.0005
2,177.126,0.72566,0.80081,0.99677,0.50217,0.00049723,0.00049723,0.00049723
3,266.447,0.40673,0.87984,0.99839,0.26202,0.000488988,0.000488988,0.000488988
4,357.095,0.2575,0.92984,1,0.17598,0.000475476,0.000475476,0.000475476
5,443.985,0.16184,0.97984,0.99919,0.06214,0.000457029,0.000457029,0.000457029
6,532.79,0.09999,0.9879,0.99919,0.03573,0.000434099,0.000434099,0.000434099
7,621.702,0.07506,0.97903,1,0.05586,0.000407252,0.000407252,0.000407252
8,711.145,0.0527,0.99677,0.99919,0.0157,0.000377148,0.000377148,0.000377148
9,804.119,0.03797,0.99839,0.99919,0.01437,0.000344529,0.000344529,0.000344529
10,892.535,0.02481,0.99677,0.99919,0.01145,0.000310198,0.000310198,0.000310198
11,1009.6,0.01795,0.99677,0.99919,0.01186,0.000275,0.000275,0.000275
12,1100.06,0.01211,0.99758,0.99919,0.01099,0.000239802,0.000239802,0.000239802
13,1190.97,0.00791,0.99758,0.99919,0.01085,0.000205471,0.000205471,0.000205471
14,1279.67,0.00503,0.99758,0.99919,0.01208,0.000172852,0.000172852,0.000172852
15,1387.61,0.01024,0.99758,0.99919,0.01004,0.000142748,0.000142748,0.000142748
16,1490.24,0.00608,0.99839,0.99919,0.00963,0.000115901,0.000115901,0.000115901
17,1582.72,0.00379,0.99758,0.99919,0.01081,9.29712e-05,9.29712e-05,9.29712e-05
