epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,57.6224,0.35917,0.2608,0.86877,0.96443,0.98722,0.99449,0.75225,0.73638,0.31242,1.3284,0.000741194,0.000741194,0.000741194
43,58.9539,0.39048,0.26243,0.86989,0.97269,1,0.99449,0.76846,0.63115,0.31268,1.27701,0.000729725,0.000729725,0.000729725
44,60.2964,0.37114,0.2628,0.8623,0.9864,0.98649,0.99449,0.79991,0.52646,0.26661,1.22559,0.000718103,0.000718103,0.000718103
45,61.6356,0.36043,0.26239,0.87473,0.98448,0.98649,0.99449,0.78266,0.62286,0.2959,1.25428,0.000706335,0.000706335,0.000706335
46,62.9586,0.33755,0.2506,0.84898,0.96936,1,0.99341,0.78993,0.57084,0.2641,1.21821,0.000694428,0.000694428,0.000694428
47,64.3059,0.34419,0.24768,0.85503,0.96895,0.99962,0.98719,0.78733,0.56038,0.2511,1.23064,0.000682392,0.000682392,0.000682392
48,65.65,0.33124,0.24565,0.85866,0.97167,1,0.98895,0.79217,0.57947,0.29619,1.21785,0.000670234,0.000670234,0.000670234
49,66.9839,0.35141,0.24668,0.86264,0.96987,0.99955,0.99111,0.78206,0.61575,0.29382,1.21922,0.000657963,0.000657963,0.000657963
50,68.3391,0.32842,0.24268,0.84808,0.96693,0.99923,0.993,0.81587,0.5329,0.24399,1.21179,0.000645588,0.000645588,0.000645588
51,69.691,0.33493,0.22643,0.84181,0.9814,0.98649,0.99368,0.81021,0.59422,0.31969,1.20888,0.000633115,0.000633115,0.000633115
52,71.0429,0.32086,0.2316,0.85422,0.96663,0.99916,0.99368,0.80939,0.52588,0.25429,1.22063,0.000620555,0.000620555,0.000620555
53,72.3853,0.32203,0.23563,0.84816,0.96829,0.99932,0.99038,0.79152,0.55818,0.26521,1.23319,0.000607916,0.000607916,0.000607916
54,73.7136,0.31328,0.2294,0.84507,0.97015,0.99912,0.99368,0.79817,0.53471,0.24364,1.20951,0.000595207,0.000595207,0.000595207
55,75.0424,0.32315,0.22758,0.85629,0.97362,1,0.98775,0.79838,0.59209,0.27607,1.28017,0.000582435,0.000582435,0.000582435
56,76.3736,0.32374,0.22608,0.85368,0.97139,0.99914,0.98787,0.7995,0.49051,0.23999,1.21364,0.00056961,0.00056961,0.00056961
57,77.7106,0.31526,0.22124,0.83854,0.97089,0.99888,0.98678,0.78423,0.6174,0.26554,1.24935,0.000556742,0.000556742,0.000556742
58,79.0655,0.30702,0.21111,0.8435,0.97161,1,0.99084,0.80596,0.48682,0.23216,1.21778,0.000543837,0.000543837,0.000543837
59,80.4157,0.30225,0.20894,0.85079,0.97099,1,0.99449,0.77285,0.62369,0.27114,1.27729,0.000530906,0.000530906,0.000530906
60,81.7536,0.29686,0.21309,0.85642,0.96316,0.99929,0.99408,0.81145,0.51658,0.24316,1.23958,0.000517958,0.000517958,0.000517958
61,83.0924,0.29679,0.2138,0.84575,0.97291,0.98831,0.99233,0.79301,0.55354,0.24485,1.253,0.000505,0.000505,0.000505
62,84.45,0.30484,0.22702,0.85072,0.96303,0.99922,0.98136,0.8056,0.53466,0.25289,1.22932,0.000492042,0.000492042,0.000492042
63,85.7607,0.29637,0.20837,0.84743,0.9648,0.99913,0.97939,0.80121,0.50977,0.24534,1.23842,0.000479094,0.000479094,0.000479094
64,87.1269,0.29083,0.20713,0.84034,0.96651,0.99912,0.98511,0.77974,0.57029,0.25991,1.25209,0.000466163,0.000466163,0.000466163
65,88.4654,0.30428,0.21084,0.85145,0.96614,0.99905,0.98976,0.79049,0.52611,0.26052,1.25231,0.000453258,0.000453258,0.000453258
